,index_bug,valid,type,issue,module,commit,parent,testcase,has_test_annotation,description,tag_parent,tag_commit
20,21,True,Regression,LANG-521,commons_lang,26bc3fe010d5154d3ccac526ec22c429fc3af499,506bd018b3ca638cd0c9d1bdad627f6468a05bee,org.apache.commons.lang3.math.NumberUtilsTest#testIsNumber,False,,LANG_3_0_B1,LANG_3_0_B1
21,22,True,Regression,LANG-535,commons_lang,2dc56182579703153e5c9886b3ecd22bbc348b49,bb8709f3e30e7c13530dfef458a4c370783de2be,org.apache.commons.lang.ClassUtilsTest#test_getShortClassName_Class,False,,LANG_3_0_B1,LANG_3_0_B1
22,23,True,Delta,LANG-538,commons_lang,825481f019e4482e5ea74d5b0b5e5c438535cb68,91ac16e0b4a74b437d86c2dd7a47272105b4317c,org.apache.commons.lang3.time.FastDateFormatTest#testLang538,False,,LANG_3_0_B1,LANG_3_0_B1
23,24,True,Regression,LANG-586,commons_lang,1f35e7c99b66b8d46c4ad96558e694a10aa38062,2fb9e71da695f4ffc1d390209944399b12c53a5d,org.apache.commons.lang3.builder.HashCodeBuilderTest#testReflectionObjectCycle,False,,LANG_3_0_B1,LANG_3_0_B1
24,25,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionObjectArray,False,,LANG_3_0_B1,LANG_3_0_B1
25,26,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionLongArray,False,,LANG_3_0_B1,LANG_3_0_B1
26,27,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionIntArray,False,,LANG_3_0_B1,LANG_3_0_B1
27,28,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionShortArray,False,,LANG_3_0_B1,LANG_3_0_B1
28,29,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionyteArray,False,,LANG_3_0_B1,LANG_3_0_B1
29,30,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionCharArray,False,,LANG_3_0_B1,LANG_3_0_B1
30,31,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionDoubleArray,False,,LANG_3_0_B1,LANG_3_0_B1
31,32,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionFloatArray,False,,LANG_3_0_B1,LANG_3_0_B1
32,33,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionBooleanArray,False,,LANG_3_0_B1,LANG_3_0_B1
33,34,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionFloatArrayArray,False,,LANG_3_0_B1,LANG_3_0_B1
34,35,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionLongArrayArray,False,,LANG_3_0_B1,LANG_3_0_B1
35,36,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionIntArrayArray,False,,LANG_3_0_B1,LANG_3_0_B1
36,37,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionhortArrayArray,False,,LANG_3_0_B1,LANG_3_0_B1
37,38,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionByteArrayArray,False,,LANG_3_0_B1,LANG_3_0_B1
38,39,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionCharArrayArray,False,,LANG_3_0_B1,LANG_3_0_B1
39,40,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionDoubleArrayArray,False,,LANG_3_0_B1,LANG_3_0_B1
40,41,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionHierarchy,False,,LANG_3_0_B1,LANG_3_0_B1
41,42,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionArrayCycleLevel2,False,,LANG_3_0_B1,LANG_3_0_B1
42,43,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionArrayArrayCycle,False,,LANG_3_0_B1,LANG_3_0_B1
43,44,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testSimpleReflectionObjectCycle,False,,LANG_3_0_B1,LANG_3_0_B1
44,45,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testSelfInstanceVarReflectionObjectCycle,False,,LANG_3_0_B1,LANG_3_0_B1
45,46,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testSelfInstanceTwoVarsReflectionObjectCycle,False,,LANG_3_0_B1,LANG_3_0_B1
46,47,True,Regression,LANG-586,commons_lang,a2bb711aee6621b21cdd22e6d7e4bff2f7236235,5c3ec55e15922c58bb2f39145de9fe641840bb50,org.apache.commons.lang3.builder.ToStringBuilderTest#testReflectionObjectCycle,False,,LANG_3_0_B1,LANG_3_0_B1
